Directorio examinado: \\192.168.2.80\Grupo Arga Metals\ARGA METALS CORPORATE SYSTEM\PRODUCTO_TEST\CLIENTE_TEST\SIEMENS 25097-01\MODEL CORE FILES\AutoDXF
--------------------------------------------------
Nombre: BA-P01, Steel, Carbon, QTY 1, Cal 0.188 | Extensión: .dxf
Nombre: BA-P02, Steel, Carbon, QTY 1, Cal 0.188 | Extensión: .dxf
Nombre: BA-P03, Steel, Carbon, QTY 1, Cal 0.188 | Extensión: .dxf
Nombre: BA-P04, Steel, Carbon, QTY 4, Cal 0.188 | Extensión: .dxf
Nombre: BA-P05, Steel, Carbon, QTY 12, Cal 0.375 | Extensión: .dxf
Nombre: BA-P06, Steel, Carbon, QTY 6, Cal 0.375 | Extensión: .dxf
Nombre: BA-P07, Steel, Carbon, QTY 11, Cal 0.188 | Extensión: .dxf
Nombre: BA-P071, Steel, Carbon, QTY 1, Cal 0.188 | Extensión: .dxf
Nombre: BA-P07_MIR1, Steel, Carbon, QTY 1, Cal 0.188 | Extensión: .dxf
Nombre: BA-P08, Steel, Carbon, QTY 4, Cal 0.25 | Extensión: .dxf
Nombre: BA-P09, Steel, Carbon, QTY 4, Cal 0.188 | Extensión: .dxf
Nombre: BA-P10, Steel, Carbon, QTY 4, Cal 0.188 | Extensión: .dxf
Nombre: BA-P11, Steel, Carbon, QTY 4, Cal 0.188 | Extensión: .dxf
Nombre: BAJB-P01, Steel, Carbon, QTY 1, Cal 0.075 | Extensión: .dxf
Nombre: CU-P01, Steel, Carbon, QTY 2, Cal 0.075 | Extensión: .dxf
Nombre: DS-P01, Steel, Carbon, QTY 6, Cal 0.188 | Extensión: .dxf
Nombre: GA2-P01, Steel, Carbon, QTY 4, Cal 0.105 | Extensión: .dxf
Nombre: GA2-P02, Steel, Carbon, QTY 4, Cal 0.105 | Extensión: .dxf
Nombre: GA2-P03, Steel, Carbon, QTY 2, Cal 0.105 | Extensión: .dxf
Nombre: ITEM JB-P01 - CAL 14 - QTY 1, Steel, Carbon, QTY 1, Cal 0.075 | Extensión: .dxf
Nombre: ITEM JB-P02 - CAL 14 - QTY 1, Steel, Carbon, QTY 1, Cal 0.075 | Extensión: .dxf
Nombre: ITEM JB-P03 - CAL 14 - QTY 1, Steel, Carbon, QTY 1, Cal 0.075 | Extensión: .dxf
Nombre: ITEM JB-P05 - CAL 14 - QTY 1, Steel, Carbon, QTY 1, Cal 0.075 | Extensión: .dxf
Nombre: ITEM JB-P06 - CAL 14 - QTY 1, Steel, Carbon, QTY 1, Cal 0.075 | Extensión: .dxf
Nombre: ITEM JB-P07 - CAL 12 - QTY 2, Steel, Carbon, QTY 2, Cal 0.105 | Extensión: .dxf
Nombre: ITEM JB-P08 - CAL 12 - QTY 1, Steel, Carbon, QTY 1, Cal 0.105 | Extensión: .dxf
Nombre: ITEM JB-P10 - CAL 12 - QTY 1, Steel, Carbon, QTY 1, Cal 0.105 | Extensión: .dxf
Nombre: ITEM JB-P11 - CAL 14 - QTY 1, Steel, Carbon, QTY 1, Cal 0.075 | Extensión: .dxf
Nombre: ITEM JB-P12 - CAL 14 - QTY 1, Steel, Carbon, QTY 1, Cal 0.105 | Extensión: .dxf
Nombre: ITEM JB-P13 - CAL 12 - QTY 4, Steel, Carbon, QTY 4, Cal 0.105 | Extensión: .dxf
Nombre: LV-P01, Steel, Carbon, QTY 11, Cal 0.075 | Extensión: .dxf
Nombre: LV-P02, Steel, Carbon, QTY 11, Cal 0.075 | Extensión: .dxf
Nombre: LV-P03, Steel, Carbon, QTY 6, Cal 0.075 | Extensión: .dxf
Nombre: LV-P04, Steel, Carbon, QTY 6, Cal 0.075 | Extensión: .dxf
Nombre: LVJB-P01, Steel, Carbon, QTY 1, Cal 0.075 | Extensión: .dxf
Nombre: LVJB-P02, Steel, Carbon, QTY 1, Cal 0.075 | Extensión: .dxf
Nombre: NT538_PLATE, Steel, Carbon, QTY 1, Cal 0.105 | Extensión: .dxf
Nombre: PA-P02, Steel, Carbon, QTY 1, Cal 0.105 | Extensión: .dxf
Nombre: PA-P03, Steel, Carbon, QTY 1, Cal 0.105 | Extensión: .dxf
Nombre: PA-P06, Steel, Carbon, QTY 1, Cal 0.075 | Extensión: .dxf
Nombre: PA-P08, Steel, Carbon, QTY 1, Cal 0.075 | Extensión: .dxf
Nombre: PA-P09, Steel, Carbon, QTY 2, Cal 0.075 | Extensión: .dxf
Nombre: PA-P10, Steel, Carbon, QTY 1, Cal 0.075 | Extensión: .dxf
Nombre: PA-P11, Steel, Carbon, QTY 1, Cal 0.075 | Extensión: .dxf
